sku,item_type,manufacturer,product_name,size,count,percent_of_customers
42081001,RICE/RICE MIX,Zatarains,Jambalaya Rice Mix,12 oz,31,0.0269845
42082001,RICE/RICE MIX,Zatarains,Jambalaya Rice Mix,8 oz,33,0.0288087
42083001,,Yucatan,Guacamole Regular,8 oz,30,0.0267329
42084001,COFFEE/CREAMER,Yuban,Coffee Original Blend,12 oz,31,0.0268587
42085001,YOGURT,Yoplait,GoGurt Variety Pack,8 ct,32,0.0285571
42086001,SALAD DRESSING,Wishbone,Italian Dressing,16 oz,30,0.0264813
42087001,,White Castle,Cheeseburger Heat & Serve Sliders,29.28 oz,31,0.0274877
42088001,PET FOOD,Whiskas,Choice Cuts Poultry,36 oz,31,0.0276764
42089001,,Welchs,Farmers Pick Concord Grape,46 oz,32,0.0278651
42090001,JUICE,Welchs,Juice Red Grape,64 oz,32,0.027928
42091001,CEREAL,Weetabix,Cereal Whole Grain Biscuit,15 oz,5,0.00402566
42092001,MAC & CHEESE,Velveeta,Shells & Cheese Microwave Cup,2.39 oz,30,0.0263555
42093001,MAC & CHEESE,Velveeta,Shells & Cheese Original,12 oz,29,0.0252862
42094001,JUICE,V8,Splash Berry Blend,64 oz,31,0.0271732
42095001,JUICE,V8,Splash Mango Peach,64 oz,31,0.0271732
42096001,JUICE,V8,V-Fusion Berry,8 pkg,31,0.0274877
42097001,JUICE,V8,V-Fusion Pomegranate Blueberry,46 oz,29,0.0251604
42098001,JUICE,V8,V-Fusion Refreshers Peach Strawberry,46 oz,31,0.0272361
42099001,CEREAL,Uncle Sam,Whole Grain Original Cereal,13 oz,5,0.00452887
42100001,,Turkey Hill,Iced Tea Lemon,128 oz,29,0.0252862
42101001,JUICE,Tropicana,Orange Juice Some Pulp,89 oz,30,0.02667
42102001,JUICE,Tropicana,Trop50 Calcium,89 oz,30,0.0264813
42103001,NUTS,Tri-State,Tri-State Almonds ,15.5,28,0.0248459
42104001,FRESH VEGETABLES,Tri-State,Tri-State Asparagus ,14.8,30,0.0264184
42105001,FRESH VEGETABLES,Tri-State,Tri-State Baby Onion ,11.8,33,0.0294377
42106001,FRESH VEGETABLES,Tri-State,Tri-State Beets ,19.6,29,0.0250975
42107001,FRESH VEGETABLES,Tri-State,Tri-State Broccoli ,8.3,28,0.0244685
42108001,NUTS,Tri-State,Tri-State Canned Peanuts ,18.2,28,0.0247201
42109001,FRESH FRUIT,Tri-State,Tri-State Cantelope ,16,29,0.0254749
42110001,FRESH VEGETABLES,Tri-State,Tri-State Cauliflower ,5.63,30,0.0264813
42111001,FRESH VEGETABLES,Tri-State,Tri-State Corn on the Cob ,10.6,28,0.0250346
42112001,FRESH VEGETABLES,Tri-State,Tri-State Dried Mushrooms ,15.6,30,0.0264813
42113001,FRESH VEGETABLES,Tri-State,Tri-State Elephant Garlic ,15.1,29,0.0254749
42114001,FRESH FRUIT,Tri-State,Tri-State Fancy Plums ,10.6,31,0.0269216
42115001,TOFU,Tri-State,Tri-State Firm Tofu ,11.6,30,0.0266071
42116001,FRESH VEGETABLES,Tri-State,Tri-State Fresh Lima Beans ,17.7,33,0.029249
42117001,FRESH FRUIT,Tri-State,Tri-State Fuji Apples ,11.1,33,0.0289345
42118001,FRESH VEGETABLES,Tri-State,Tri-State Garlic ,14.1,31,0.0269845
42119001,FRESH FRUIT,Tri-State,Tri-State Golden Delcious Apples ,4.61,30,0.02667
42120001,FRESH VEGETABLES,Tri-State,Tri-State Green Pepper ,10,31,0.0268587
42121001,FRESH FRUIT,Tri-State,Tri-State Honey Dew ,7.61,30,0.0263555
42122001,FRESH FRUIT,Tri-State,Tri-State Lemons ,16.1,27,0.024154
42123001,FRESH VEGETABLES,Tri-State,Tri-State Lettuce ,5.65,31,0.0274248
42124001,FRESH FRUIT,Tri-State,Tri-State Limes ,12.6,31,0.027299
42125001,FRESH FRUIT,Tri-State,Tri-State Macintosh Apples ,20,31,0.0270474
